Producent,Nazwa,Moc,Pasmo,Protokół,Kanały,Wentylator,Mocowanie,Złącze,Kolor główny,Kolor dodatkowy,Sygnalizacja,Zdjęcie,Zdjęcie2,Zdjęcie3,Wygeneruj konfigurację,Strona producenta,Instrukcja,Dodatkowo:,"{bd, h}",{h},col23,col24,col25,col26,col27
Foxeer,Reaper extreme v3,2.5W,"5.8G, 4.9G",IRC Tramp,80Ch,Brak,20x20,MMCX,Czarny,Biały,Diody LED,pic/foxeer_reaper_extreme_v3_pic1.webp,,pic/foxeer_reaper_extreme_v3_pic3.webp,#generator-ustawien-vtx?vtx=foxeer_reaper_extreme_2.5w_v3_80ch_(x-band),https://www.foxeer.com/foxeer-4-9g-6g-reaper-extreme-v3-2-5w-80ch-vtx-g-591,manuals/Reaper_Extreme_V3_VTX_Manual_2.5W_80CH.pdf,,,,,,,,
Foxeer,Reaper extreme v2,3W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/foxeer_reaper_extreme_v2_3_pic1.webp,,pic/foxeer_reaper_extreme_v2_3_pic3.webp,#generator-ustawien-vtx?vtx=foxeer_reaper_extreme_3w_v2_80ch,https://www.foxeer.com/foxeer-4-9g-6g-reaper-extreme-v2-3w-80ch-vtx-g-590,manuals/Foxeer_Reaper_Extreme_VTX_Manual_3W_80CH.pdf,,,,,,,,
Foxeer,Reaper Infinity,5W,5.8G,IRC Tramp,40Ch,Wbudowany,20x20,SMA,Czarny,Biały,Diody LED,pic/foxeer_reaper_infinity_pic1.webp,pic/foxeer_reaper_infinity_pic2.webp,,#generator-ustawien-vtx?vtx=foxeer_reaper_infinity_5w_40ch,https://www.foxeer.com/foxeer-5-8g-reaper-infinity-5w-40ch-vtx-g-531,manuals/reaper_infinity_5w_manual.pdf,,,,,,,,
Foxeer,Reaper Infinity v2,5W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,20x20,SMA,Czarny,Biały,Diody LED,pic/foxeer_reaper_infinity_v2_pic1.webp,pic/foxeer_reaper_infinity_v2_pic2.webp,pic/foxeer_reaper_infinity_v2_pic3.webp,#generator-ustawien-vtx?vtx=foxeer_reaper_infinity_5w_v2_80ch,https://www.foxeer.com/foxeer-4-9g-6g-reaper-infinity-v2-5w-80ch-vtx-g-588,manuals/Foxeer_Reaper_Infinity_V2_VTX_Manual_5W.pdf,,,,,,,,
Foxeer,Reaper Infinity,10W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,20x20,SMA,Czarny,Biały,Diody LED,pic/foxeer_reaper_infinity_2_pic1.webp,,pic/foxeer_reaper_infinity_2_pic3.webp,#generator-ustawien-vtx?vtx=foxeer_reaper_infinity_10w_80ch,https://www.foxeer.com/foxeer-4-9g-6g-reaper-infinity-10w-80ch-vtx-g-587,manuals/Foxeer_Reaper_Infinity_VTX_Manual_10W.pdf,,,,,,,,
Foxeer,Reaper 3.3G,4W,3.3G,IRC Tramp,40Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/foxeer_reaper_3.3g_pic1.webp,,pic/foxeer_reaper_3.3g_pic3.webp,#generator-ustawien-vtx?vtx=foxeer_reaper_3.3g_4w_40ch,https://www.foxeer.com/foxeer-reaper-3-3g-4w-40ch-vtx-tramp-g-598,manuals/Reaper_4W_3.3G_VTX_Manual.pdf,,,,,,,,
TBS,Unify Pro32 HV,1W,5.8G,Smart Audio,40Ch,Brak,Brak,MMCX,Czarny,Złoty,Diody LED,pic/tbs_unify_pro32_hv_pic1.webp,pic/tbs_unify_pro32_hv_pic2.webp,pic/tbs_unify_pro32_hv_pic3.webp,#generator-ustawien-vtx?vtx=tbs_unify_pro32_hv,https://www.team-blacksheep.com/products/prod:unifypro32_hv,manuals/manual_tbs_unify_pro32_hv.pdf,,,,,,,,
TBS,Unify Pro32 DP,3W,"5.8G, 4.9G, 6.1G",Smart Audio,80Ch,Brak,Brak,MMCX,Czarny,Złoty,Diody LED,pic/tbs_unify_pro32_dp_pic1.webp,pic/tbs_unify_pro32_dp_pic2.webp,,#generator-ustawien-vtx?vtx=tbs_unify_pro32_dp_3w,https://www.team-blacksheep.com/products/prod:pro32_dp,manuals/tbs_video_transmitter_unify_pro32_dp_manual.pdf,,,,,,,,
TBS,Unify Pro32 DP (modyfikacja),3W,"5.8G, 4.9G, 6.1G",Smart Audio,80Ch,Brak,Brak,MMCX,Metaliczny,Złoty,Diody LED,pic/tbs_unify_pro32_dp_(modyfikacja)_pic1.webp,pic/tbs_unify_pro32_dp_(modyfikacja)_pic2.webp,,#generator-ustawien-vtx?vtx=tbs_unify_pro32_dp_3w,https://www.team-blacksheep.com/products/prod:pro32_dp,manuals/tbs_video_transmitter_unify_pro32_dp_manual.pdf,Modyfikowane przez lokalnych producentów,,,,,,,
TBS,Crossfire Sixty9,1W,5.8G,Smart Audio,40Ch,Brak,20x20,U.FL/IPEX,Czarny,Metaliczny,Diody LED,pic/tbs_crossfire_sixty9_pic1.webp,,pic/tbs_crossfire_sixty9_pic3.webp,#generator-ustawien-vtx?vtx=tbs_sixty9,https://www.team-blacksheep.com/products/prod:crossfire_sixty9,,,,,,,,,
TBS,Tracer Sixty9,1W,5.8G,Smart Audio,40Ch,Brak,20x20,U.FL/IPEX,Biały,Metaliczny,Diody LED,pic/tbs_tracer_sixty9_pic1.webp,,pic/tbs_tracer_sixty9_pic3.webp,#generator-ustawien-vtx?vtx=tbs_sixty9,https://www.team-blacksheep.com/products/prod:tracer_sixty9,,,,,,,,,
IFlight,BLITZ,1.6W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Metaliczny,Diody LED,pic/iflight_blitz_pic1.webp,,pic/iflight_blitz_pic3.webp,,https://shop.iflight.com/BLITZ-1.6W-VTX-Adjustable-Pro1703?search=vtx,manuals/B011639_BLITZ 1.6W VTX Instructions_20250506.pdf,,,,,,,,
IFlight,BLITZ Whoop,1.6W,5.8G,IRC Tramp,40Ch,Brak,25.5x25.5,MMCX,Czarny,Metaliczny,Diody LED,pic/iflight_blitz_whoop_pic1.webp,,pic/iflight_blitz_whoop_pic3.webp,#generator-ustawien-vtx?vtx=iflight_blitz_whoop_1.6w,https://shop.iflight.com/BLITZ-Whoop-1.6W-VTX-Adjustable-Pro1982?search=vtx,manuals/B013728_BLITZ Whoop 5.8G 1.6W VTX Instructions_20250506.pdf,,,,,,,,
IFlight,BLITZ Whoop,2.5W,5.8G,IRC Tramp,40Ch,Wbudowany,25.5x25.5,MMCX,Czarny,Metaliczny,Diody LED,pic/iflight_blitz_whoop_2_pic1.webp,,pic/iflight_blitz_whoop_2_pic3.webp,#generator-ustawien-vtx?vtx=iflight_blitz_whoop_2.5w,https://shop.iflight.com/BLITZ-Whoop-5.8G-2.5W-VTX-Pro2060?search=vtx,manuals/B014898_BLITZ Whoop 5.8G 2.5W VTX lnstructions_20250909.pdf,,,,,,,,
IFlight,BLITZ Whoop 4.9,2.5W,4.9G,IRC Tramp,9Ch,Wbudowany,25.5x25.5,MMCX,Czarny,Metaliczny,Diody LED,pic/iflight_blitz_whoop_4.9_pic1.webp,,pic/iflight_blitz_whoop_4.9_pic3.webp,#generator-ustawien-vtx?vtx=iflight_blitz_whoop_4.9g_2.5w,https://iflight-rc.eu/en/products/blitz-whoop-4-9ghz-2-5w-vtx,manuals/B015215_BLITZ Whoop 4.9G 2.5W VTX lnstructions_20240507.pdf,,,,,,,,
IFlight,BLITZ 3.3G,2W,3.3G,IRC Tramp,32Ch,Wbudowany,25.5x25.5,MMCX,Czarny,Metaliczny,Diody LED,pic/iflight_blitz_3.3g_pic1.webp,,pic/iflight_blitz_3.3g_pic3.webp,#generator-ustawien-vtx?vtx=iflight_blitz_3.3g_2w,,,,,,,,,,
IFlight,BLITZ 1.2G,1.6W,1.2G,IRC Tramp,,Wbudowany,25.5x25.5,MMCX,Czarny,Metaliczny,Diody LED,pic/iflight_blitz_1.2g_pic1.webp,pic/iflight_blitz_1.2g_pic2.webp,,#generator-ustawien-vtx?vtx=iflight_blitz_1.2g_1.6w,,,,,,,,,,
GEPRC,RAD Mini 5.8G,1W,5.8G,IRC Tramp,48Ch,Brak,30.5x30.5,U.FL/IPEX,Czarny,Metaliczny,Diody LED,pic/geprc_rad_mini_5.8g_pic1.webp,,pic/geprc_rad_mini_5.8g_pic3.webp,#generator-ustawien-vtx?vtx=geprc_rad_mini_5.8g_1w_48ch,https://geprc.com/product/geprc-rad-mini-5-8g-1w-vtx/,,,,,,,,,
GEPRC,RAD 5.8G,1.6W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Diody LED,pic/geprc_rad_5.8g_pic1.webp,pic/geprc_rad_5.8g_pic2.webp,,#generator-ustawien-vtx?vtx=geprc_rad_5.8g_1.6w_40ch,https://geprc.com/product/geprc-rad-vtx-5-8g-1-6w/,manuals/RAD-1.6w-Manual-2.4-English.pdf,,,,,,,,
GEPRC,RAD 5.8G,2.5W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Diody LED,pic/geprc_rad_5.8g_2_pic1.webp,,,#generator-ustawien-vtx?vtx=geprc_rad_5.8g_2.5w_40ch,https://geprc.com/product/geprc-rad-vtx-5-8g-2-5w/,manuals/geprc_rad_vtx_user_manual.pdf,,,,,,,,
GEPRC,MATEN 5.8G,1.6W,5.8G,IRC Tramp,72Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/geprc_maten_5.8g_pic1.webp,,pic/geprc_maten_5.8g_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_5.8g_1.6w_72ch,https://geprc.com/product/geprc-maten-5-8g-1-6w-vtx/,,,,,,,,,
GEPRC,MATEN 5.8G,2.5W,5.8G,IRC Tramp,72Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/geprc_maten_5.8g_2_pic1.webp,,pic/geprc_maten_5.8g_2_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_5.8g_2.5w_72ch,https://geprc.com/product/geprc-maten-5-8g-2-5w-vtx/,,,,,,,,,
GEPRC,MATEN 5.8G Pro,2.5W,5.8G,IRC Tramp,72Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Metaliczny,Diody LED,pic/geprc_maten_5.8g_pro_pic1.webp,,pic/geprc_maten_5.8g_pro_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_5.8g_pro_2.5w_72ch,https://geprc.com/product/geprc-maten-5-8g-2-5w-vtx-pro/,,,,,,,,,
GEPRC,MATEN 5.8G Pro,2.5W,5.8G,IRC Tramp,72Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czerwony,Diody LED,pic/geprc_maten_5.8g_pro_2_pic1.webp,,pic/geprc_maten_5.8g_pro_2_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_5.8g_pro_2.5w_72ch,https://geprc.com/product/geprc-maten-5-8g-2-5w-vtx-pro/,,Wycofany z produkcji od marca 2024. Zastąpiony szarym,Wycofano z produkcji,,,,,,
GEPRC,MATEN 4.9G Pro,2.5W,4.9G,IRC Tramp,8Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Metaliczny,Diody LED,pic/geprc_maten_4.9g_pro_pic1.webp,pic/geprc_maten_4.9g_pro_pic2.webp,pic/geprc_maten_4.9g_pro_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_4.9g_pro_2.5w_8ch,,,,,,,,,,
GEPRC,MATEN 5.8G Pro,3W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Metaliczny,Diody LED,pic/geprc_maten_5.8g_pro_3_pic1.webp,,pic/geprc_maten_5.8g_pro_3_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_5.8g_pro_3w_80ch,https://geprc.com/product/geprc-maten-5-8g-3w-vtx-pro-vtx/,,,,,,,,,
GEPRC,MATEN 5.8G Pro,5W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,20x20,SMA,Czarny,Biały,Diody LED,pic/geprc_maten_5.8g_pro_4_pic1.webp,,pic/geprc_maten_5.8g_pro_4_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_5.8g_pro_5w_80ch,https://geprc.com/product/geprc-maten-5-8g-5w-vtx-pro/,,,,,,,,,
GEPRC,MATEN 5.8G Pro,10W,"5.8G, 4.9G, 6.1G",IRC Tramp,96Ch,Wbudowany,"30.5x30.5, 20x20",SMA,Czarny,Biały,Diody LED,pic/geprc_maten_5.8g_pro_5_pic1.webp,pic/geprc_maten_5.8g_pro_5_pic2.webp,pic/geprc_maten_5.8g_pro_5_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_5.8g_pro_10w_96ch,https://geprc.com/product/geprc-maten-5-8g-10w-vtx-pro/,,Obsługuje dowolne wprowadzanie częstotliwości w paśmie 4884-6184 MHz,Dowolne częstotliwości,,,,,,
GEPRC,MATEN 3.3G,3W,3.3G,IRC Tramp,40Ch,Wbudowany,20x20,MMCX,Czarny,Metaliczny,Diody LED,pic/geprc_maten_3.3g_pic1.webp,,pic/geprc_maten_3.3g_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_3.3g_pro_3w,https://geprc.com/product/geprc-maten-3-3g-3w-vtx-pro/,,,,,,,,,
GEPRC,MATEN 1.2G,2W,1.2G,IRC Tramp,9Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/geprc_maten_1.2g_pic1.webp,,pic/geprc_maten_1.2g_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_1.2g_2w,https://geprc.com/product/geprc-maten-1-2g-2w-vtx/,,,,,,,,,
GEPRC,MATEN 1.2G Pro,5W,1.2G,IRC Tramp,9Ch,Wbudowany,30.5x30.5,SMA,Czarny,Biały,Diody LED,pic/geprc_maten_1.2g_pro_pic1.webp,,pic/geprc_maten_1.2g_pro_pic3.webp,#generator-ustawien-vtx?vtx=geprc_maten_1.2g_pro_5w,https://geprc.com/product/geprc-maten-1-2g-5w-vtx-pro/,,,,,,,,,
HGLRC,Zeus VTX PRO,1.6W,5.8G,IRC Tramp,40Ch,Brak,20x20,MMCX,Czerwony,Czarny,Diody LED,pic/hglrc_zeus_vtx_pro_pic1.webp,,pic/hglrc_zeus_vtx_pro_pic3.webp,,https://www.hglrc.com/products/hglrc-zeus-vtx-pro-1-6w-for-fpv-racing-drone,manuals/Zeus 1.6W VTX Pro.pdf,,,,,,,,
HGLRC,Zeus VTX,2.5W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/hglrc_zeus_vtx_pic1.webp,pic/hglrc_zeus_vtx_pic2.webp,pic/hglrc_zeus_vtx_pic3.webp,,https://www.hglrc.com/collections/vtx/products/hglrc-zeus-vtx-2-5w-high-power-5-8g-image-transmission-adjustable-power-aerial-photography-travel-fpv,manuals/Zeus VTX 2.5W.pdf,,,,,,,,
HGLRC,High power VTX,5W,"5.8G, 4.9G",Smart Audio,80Ch,Wbudowany,30.5x30.5,SMA,Czarny,Metaliczny,Diody LED,pic/hglrc_high_power_vtx_pic1.webp,pic/hglrc_high_power_vtx_pic2.webp,,,https://www.hglrc.com/collections/vtx/products/5-8g-5-5w-high-power-vtx-adjustable-power-aerial-photography-fpv-drone,,,,,,,,,
AKK,Infinite DVR,1W,5.8G,Smart Audio,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Diody LED,pic/akk_infinite_dvr_pic1.webp,pic/akk_infinite_dvr_pic2.webp,pic/akk_infinite_dvr_pic3.webp,,https://www.akktek.com/products/vtx/infinite-dvr-vtx.html,,,,,,,,,
AKK,FX3-Ultimate-DVR,1W,5.8G,Smart Audio,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Diody LED,pic/akk_fx3-ultimate-dvr_pic1.webp,pic/akk_fx3-ultimate-dvr_pic2.webp,pic/akk_fx3-ultimate-dvr_pic3.webp,,https://www.akktek.com/products/vtx/fx3-ultimate-dvr-vtx.html,,,,,,,,,
AKK,FX2-ultimate-mini,1.2W,5.8G,Smart Audio,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Diody LED,pic/akk_fx2-ultimate-mini_pic1.webp,pic/akk_fx2-ultimate-mini_pic2.webp,pic/akk_fx2-ultimate-mini_pic3.webp,,https://www.akktek.com/products/vtx/akk-fx2-ultimate-mini.html,,,,,,,,,
AKK,FX2-ultimate,1.2W,5.8G,Smart Audio,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Ekran,pic/akk_fx2-ultimate_pic1.webp,pic/akk_fx2-ultimate_pic2.webp,pic/akk_fx2-ultimate_pic3.webp,,https://www.akktek.com/products/vtx/akk-fx2-ultimate.html,,,,,,,,,
AKK,Race Ranger,1.6W,5.8G,Smart Audio,40Ch,Brak,30.5x30.5,MMCX,Czerwony,Czarny,Diody LED,pic/akk_race_ranger_pic1.webp,,pic/akk_race_ranger_pic3.webp,#generator-ustawien-vtx?vtx=akk_race_ranger_1.6w_48ch,https://www.akktek.com/products/vtx/akk-race-ranger-n-a-for-us-customer.html,,,,,,,,,
AKK,FX2 Dominator,2W,5.8G,Smart Audio,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Ekran,pic/akk_fx2_dominator_pic1.webp,pic/akk_fx2_dominator_pic2.webp,pic/akk_fx2_dominator_pic3.webp,#generator-ustawien-vtx?vtx=akk_fx2_dominator_2w_48ch,https://www.akktek.com/products/vtx/fx2-dominator.html,manuals/akk_fx2_dominator_manual.pdf,,,,,,,,
AKK,Ultra Long Range,3W,5.8G,Smart Audio,48Ch,Zdejmowany,30.5x30.5,MMCX,Czarny,Czarny,Diody LED,pic/akk_ultra_long_range_pic1.webp,pic/akk_ultra_long_range_pic2.webp,pic/akk_ultra_long_range_pic3.webp,#generator-ustawien-vtx?vtx=akk_ultra_long_range_3w_48ch,https://www.akktek.com/products/vtx/ultra-long-range-vtx.html,,,,,,,,,
AKK,Ultra Long Range AC,3W,"5.8G, 4.9G",Smart Audio,80Ch,Zdejmowany,30.5x30.5,MMCX,Czarny,Czarny,Diody LED,pic/akk_ultra_long_range_ac_pic1.webp,pic/akk_ultra_long_range_ac_pic2.webp,pic/akk_ultra_long_range_ac_pic3.webp,,https://www.akktek.com/products/vtx/ultra-long-range-all-channels-version-3w-80ch-vtx.html,manuals/akk_ultra_long_range_3w_49g_low_band_vtx_manual.pdf,Znany także jako TX3000AC,,,,,,,
AKK,TX5000AC,5W,"5.8G, 4.9G, 6.1G",Smart Audio,96Ch,Zdejmowany,30.5x30.5,MMCX,Czarny,Czarny,Diody LED,pic/akk_ultra_long_range_ac_2_pic1.webp,pic/akk_ultra_long_range_ac_2_pic2.webp,pic/hglrc_high_power_vtx_pic2.webp,#generator-ustawien-vtx?vtx=akk_tx5000ac_5w_96ch,https://www.akktek.com/products/vtx/akk-ultra-long-range-all-channels-version-5w-ultra-wide-band-96ch-vtx.html,,,,,,,,,
AKK,TX8000AC,8W,"5.8G, 4.9G, 6.1G",Smart Audio,96Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Czarny,Ekran,pic/akk_ultra_long_range_ac_3_pic1.webp,pic/akk_ultra_long_range_ac_3_pic2.webp,pic/akk_tx8000ac_pic3.webp,,,manuals/akk_ultra_long_range_tx8000ac_manual.pdf,,,,,,,,
AKK,Alpha 4,4W,"5.8G, 4.9G",Smart Audio,80Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Biały,Ekran,pic/akk_alpha_4_pic1.webp,pic/akk_alpha_4_pic2.webp,,#generator-ustawien-vtx?vtx=akk_alpha_4_4w_80ch,https://www.akktek.com/products/vtx/akk-alpha-4-5-8-ghz-4w-80ch-vtx.html,manuals/akk_alpha_4958ghz_45810w_vtx_manual.pdf,,,,,,,,
AKK,Alpha 5,5W,"5.8G, 4.9G",Smart Audio,80Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Biały,Ekran,pic/akk_alpha_5_pic1.webp,pic/akk_alpha_5_pic2.webp,,#generator-ustawien-vtx?vtx=akk_alpha_5_5w_80ch,https://www.akktek.com/products/vtx/akk-alpha-5-5-8ghz-5w-80ch-vtx.html,manuals/akk_alpha_4958ghz_45810w_vtx_manual.pdf,,,,,,,,
AKK,Alpha 8,8W,"5.8G, 4.9G",Smart Audio,80Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Biały,Ekran,pic/akk_alpha_8_pic1.webp,pic/akk_alpha_8_pic2.webp,,#generator-ustawien-vtx?vtx=akk_alpha_8_8w_80ch,https://www.akktek.com/products/vtx/akk-alpha-8-5-8ghz-8w-80ch-vtx.html,manuals/akk_alpha_4958ghz_45810w_vtx_manual.pdf,,,,,,,,
AKK,Alpha 10,10W,"5.8G, 4.9G",Smart Audio,80Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Biały,Ekran,pic/akk_alpha_10_pic1.webp,pic/akk_alpha_10_pic2.webp,,#generator-ustawien-vtx?vtx=akk_alpha_10_10w_80ch,,manuals/akk_alpha_4958ghz_45810w_vtx_manual.pdf,,,,,,,,
AKK,Alpha 16,16W,"5.8G, 4.9G, 6.1G",Smart Audio,96Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Biały,Ekran,pic/akk_alpha_16_pic1.webp,pic/akk_alpha_16_pic2.webp,pic/akk_alpha_16_pic3.webp,,,manuals/akk_alpha_16w_vtx_manual.pdf,,,,,,,,
AKK,T3050,3W,"4.9G, 3.3G",Smart Audio,80Ch,Zdejmowany,41.5x30.5,SMA,Czarny,Czarny,,pic/akk_t3050_pic1.webp,pic/akk_t3050_pic2.webp,,,,,,,,,,,,
DEC1,Spot,2.5W,"5.8G, 4.9G, 6.1G",IRC Tramp,64Ch,Wbudowany,30.5x30.5,MMCX,Metaliczny,Metaliczny,Diody LED,pic/dec1_d1_pic1.webp,,pic/dec1_d1_pic3.webp,,https://vtx.dec1rnd.com/,manuals/video_transmitter_vtx_d1_25w_manual.pdf,Stara nazwa D1,Dowolne częstotliwości,,,,,,
DEC1,Spot SMA,2.5W,"5.8G, 4.9G, 6.1G",IRC Tramp,64Ch,Wbudowany,30.5x30.5,SMA,Czarny,Czarny,Diody LED,pic/dec1_spot_sma_pic1.webp,,pic/dec1_spot_sma_pic3.webp,,https://vtx.dec1rnd.com/,manuals/video_transmitter_vtx_d1_25w_manual.pdf,Stara nazwa D1 SMA,Dowolne częstotliwości,,,,,,
Scream Industries,SI1012 v1.0,4W,7G +,,64Ch,Wbudowany,30.5x30.5,SMA,Fioletowy,Czarny,Diody LED,pic/scream_industries_si1012_v1.0_pic1.webp,pic/scream_industries_si1012_v1.0_pic2.webp,pic/scream_industries_si1012_v1.0_pic3.webp,,https://www.scream-industries.com/product/fpv-videoperedavach-10-12-ghz/,,,,,,,,,
LST,5.8G,3W,5.8G,IRC Tramp,48Ch,Wbudowany,30.5x30.5,MMCX,Szary,Pomarańczowy,Diody LED,pic/lst_5.8g_pic1.webp,,pic/lst_5.8g_pic3.webp,,,,,,,,,,,
LST,3.3G,3W,3.3G,IRC Tramp,16Ch,Wbudowany,30.5x30.5,MMCX,Metaliczny,Niebieski,Diody LED,pic/lst_3.3g_pic1.webp,,pic/lst_3.3g_pic3.webp,,,,,,,,,,,
LST,3.3G,4W,3.3G,IRC Tramp,16Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czerwony,Diody LED,pic/lst_3.3g_2_pic1.webp,,,,,,,,,,,,,
LST,4.9G,1.6W,4.9G,IRC Tramp,8Ch,Brak,30.5x30.5,MMCX,Czerwony,Czarny,Diody LED,pic/lst_4.9g_pic1.webp,pic/lst_4.9g_pic2.webp,,,,,,,,,,,,
LST,4.9-6.1G,3W,"5.8G, 4.9G, 6.1G",IRC Tramp,72Ch,Wbudowany,30.5x30.5,MMCX,Szary,Czerwony,Diody LED,pic/lst_4.9-6.1g_pic1.webp,,pic/lst_4.9-6.1g_pic3.webp,,,,Obsługuje dowolne wprowadzanie częstotliwości w paśmie 4867-6100 MHz,Dowolne częstotliwości,,,,,,
ReadyToSky ,1.2G,1W,1.2G,Brak,9Ch,Brak,30.5x30.5,SMA,Czarny,Metaliczny,Diody LED,pic/readytosky_1.2g_pic1.webp,pic/readytosky_1.2g_pic2.webp,pic/readytosky_1.2g_pic3.webp,,,,,,,,,,,
ReadyToSky ,1.2G,2W,1.2G,IRC Tramp,9Ch,Wbudowany,30.5x30.5,MMCX,Metaliczny,Pomarańczowy,Diody LED,pic/readytosky_1.2g_2_pic1.webp,,pic/readytosky_1.2g_pic3.webp,,,,,,,,,,,
ReadyToSky ,3.3G,4W,3.3G,Brak,16Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/readytosky_3.3g_pic1.webp,,pic/readytosky_3.3g_pic3.webp,,,,,,,,,,,
ReadyToSky ,3.3G,2.5W,3.3G,IRC Tramp,16Ch,Wbudowany,25.5x25.5,MMCX,Czarny,Pomarańczowy,Diody LED,pic/readytosky_3.3g_2_pic1.webp,pic/readytosky_3.3g_2_pic2.webp,,,,,Dodane przez użytkowników,,,,,,,
JHEMCU,RuiBet,1.6W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/jhemcu_ruibet_pic1.webp,pic/jhemcu_ruibet_pic2.webp,,,https://www.jhemcu.com/e_productshow/?61-JHEMCU-RuiBet-Tran-3016W-58GHZ-16W-image-transmission-wireless-video-transmission-supporting-audio-transmission-61.html,,,,,,,,,
JHEMCU,VTX2W5,2.5W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/jhemcu_vtx2w5_pic1.webp,pic/jhemcu_vtx2w5_pic2.webp,pic/jhemcu_vtx2w5_pic3.webp,,https://www.jhemcu.com/e_productshow/?69-JHEMCU-VTX2W5-58GHZ-25W-image-transmission-69.html,,,,,,,,,
Ultra,2500,2.5W,"5.8G, 4.9G",IRC Tramp,64Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/ultra_2500_pic1.webp,pic/ultra_2500_pic2.webp,pic/ultra_2500_pic3.webp,,https://www.readytosky.com/e_productshow/?1298-VTX-25W-49G-58G-64CH-2500mW-Pit25400800mW15W25W-Adjustable-Transmitter-305x305mm-for-Long-Range-RC-Drone-Models-1298.html,,,,,,,,,
Ultra,3000,3W,"5.8G, 4.9G",IRC Tramp,64Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/ultra_3000_pic1.webp,,pic/ultra_3000_pic3.webp,,,,,,,,,,,
SpeedyBee,TX ULTRA,1.6W,5.8G,IRC Tramp,48Ch,Brak,20x20,MMCX,Metaliczny,Żółty,Diody LED,pic/speedybee_tx_ultra_pic1.webp,pic/speedybee_tx_ultra_pic2.webp,,,https://www.speedybee.com/speedybee-tx-ultra/,manuals/SpeedyBee-TX-1600-EN.pdf,,,,,,,,
SpeedyBee,TX800,0.8W,5.8G,IRC Tramp,40Ch,Brak,20x20,MMCX,Metaliczny,Żółty,Diody LED,pic/speedybee_tx800_pic1.webp,pic/speedybee_tx800_pic2.webp,,,https://www.speedybee.com/speedybee-tx800/,manuals/SpeedyBee-TX800-manual_EN.pdf,,,,,,,,
FTWHOBBY,Hiker,1.6W,5.8G,IRC Tramp,40Ch,Brak,20x20,MMCX,Czarny,Biały,Diody LED,pic/ftwhobby_hiker_pic1.webp,,pic/ftwhobby_hiker_pic3.webp,,,,,,,,,,,
